Sample,Baking temperature (°C),Baking time (hours),Resistive switching film,Bottom electrode material,Top electrode material,SET Voltage,Set_voltage_kde
Sample_6,90.0,8.0,1,0,2,0.0,0.0008936177259038
Sample_6,90.0,8.0,1,0,2,0.01,0.0010717306860274
Sample_6,90.0,8.0,1,0,2,0.02,0.0012814551355081
Sample_6,90.0,8.0,1,0,2,0.03,0.001527612559768
Sample_6,90.0,8.0,1,0,2,0.04,0.0018156138442053
Sample_6,90.0,8.0,1,0,2,0.05,0.0021515067859789
Sample_6,90.0,8.0,1,0,2,0.06,0.0025420235835187
Sample_6,90.0,8.0,1,0,2,0.07,0.0029946276069197
Sample_6,90.0,8.0,1,0,2,0.08,0.0035175586598252
Sample_6,90.0,8.0,1,0,2,0.09,0.0041198758522213
Sample_6,90.0,8.0,1,0,2,0.1,0.0048114971156754
Sample_6,90.0,8.0,1,0,2,0.11,0.0056032343100889
Sample_6,90.0,8.0,1,0,2,0.12,0.0065068227962433
Sample_6,90.0,8.0,1,0,2,0.13,0.0075349442836984
Sample_6,90.0,8.0,1,0,2,0.14,0.0087012417114523
Sample_6,90.0,8.0,1,0,2,0.15,0.010020324881761
Sample_6,90.0,8.0,1,0,2,0.16,0.0115077655482829
Sample_6,90.0,8.0,1,0,2,0.17,0.0131800806609031
Sample_6,90.0,8.0,1,0,2,0.18,0.0150547024938292
Sample_6,90.0,8.0,1,0,2,0.19,0.0171499344334073
Sample_6,90.0,8.0,1,0,2,0.2,0.0194848912800071
Sample_6,90.0,8.0,1,0,2,0.21,0.0220794230265386
Sample_6,90.0,8.0,1,0,2,0.22,0.0249540212166454
Sample_6,90.0,8.0,1,0,2,0.23,0.0281297071600153
Sample_6,90.0,8.0,1,0,2,0.24,0.0316279014916622
Sample_6,90.0,8.0,1,0,2,0.25,0.0354702748070551
Sample_6,90.0,8.0,1,0,2,0.26,0.0396785793853614
Sample_6,90.0,8.0,1,0,2,0.27,0.0442744623278317
Sample_6,90.0,8.0,1,0,2,0.28,0.0492792607853564
Sample_6,90.0,8.0,1,0,2,0.29,0.0547137803252803
Sample_6,90.0,8.0,1,0,2,0.3,0.0605980578881604
Sample_6,90.0,8.0,1,0,2,0.31,0.0669511112043927
Sample_6,90.0,8.0,1,0,2,0.32,0.0737906769712589
Sample_6,90.0,8.0,1,0,2,0.33,0.0811329405241265
Sample_6,90.0,8.0,1,0,2,0.34,0.0889922601612046
Sample_6,90.0,8.0,1,0,2,0.35,0.0973808896878958
Sample_6,90.0,8.0,1,0,2,0.36,0.1063087031219443
Sample_6,90.0,8.0,1,0,2,0.37,0.115782925830903
Sample_6,90.0,8.0,1,0,2,0.38,0.1258078766451512
Sample_6,90.0,8.0,1,0,2,0.39,0.1363847256890718
Sample_6,90.0,8.0,1,0,2,0.4,0.1475112727867017
Sample_6,90.0,8.0,1,0,2,0.41,0.1591817513140637
Sample_6,90.0,8.0,1,0,2,0.42,0.1713866622778969
Sample_6,90.0,8.0,1,0,2,0.43,0.1841126431913915
Sample_6,90.0,8.0,1,0,2,0.44,0.1973423759863505
Sample_6,90.0,8.0,1,0,2,0.45,0.2110545377459814
Sample_6,90.0,8.0,1,0,2,0.46,0.2252237974650357
Sample_6,90.0,8.0,1,0,2,0.47,0.2398208613502845
Sample_6,90.0,8.0,1,0,2,0.48,0.2548125683747003
Sample_6,90.0,8.0,1,0,2,0.49,0.2701620369079356
Sample_6,90.0,8.0,1,0,2,0.5,0.285828862282691
Sample_6,90.0,8.0,1,0,2,0.51,0.3017693641441683
Sample_6,90.0,8.0,1,0,2,0.52,0.3179368813940143
Sample_6,90.0,8.0,1,0,2,0.53,0.334282111509625
Sample_6,90.0,8.0,1,0,2,0.54,0.3507534900245522
Sample_6,90.0,8.0,1,0,2,0.55,0.3672976050268033
Sample_6,90.0,8.0,1,0,2,0.56,0.3838596406991919
Sample_6,90.0,8.0,1,0,2,0.5700000000000001,0.4003838432179261
Sample_6,90.0,8.0,1,0,2,0.58,0.416814001767692
Sample_6,90.0,8.0,1,0,2,0.59,0.4330939370449894
Sample_6,90.0,8.0,1,0,2,0.6,0.449167989422351
Sample_6,90.0,8.0,1,0,2,0.61,0.4649814989448523
Sample_6,90.0,8.0,1,0,2,0.62,0.480481269530451
Sample_6,90.0,8.0,1,0,2,0.63,0.4956160101442132
Sample_6,90.0,8.0,1,0,2,0.64,0.5103367463029337
Sample_6,90.0,8.0,1,0,2,0.65,0.5245971960244065
Sample_6,90.0,8.0,1,0,2,0.66,0.5383541052412987
Sample_6,90.0,8.0,1,0,2,0.67,0.5515675387246183
Sample_6,90.0,8.0,1,0,2,0.68,0.5642011236731722
Sample_6,90.0,8.0,1,0,2,0.6900000000000001,0.5762222442870767
Sample_6,90.0,8.0,1,0,2,0.7000000000000001,0.5876021868170875
Sample_6,90.0,8.0,1,0,2,0.71,0.5983162357292617
Sample_6,90.0,8.0,1,0,2,0.72,0.608343722709091
Sample_6,90.0,8.0,1,0,2,0.73,0.6176680312162184
Sample_6,90.0,8.0,1,0,2,0.74,0.6262765601600917
Sample_6,90.0,8.0,1,0,2,0.75,0.6341606509726936
Sample_6,90.0,8.0,1,0,2,0.76,0.6413154828882711
