,Baking temperature (°C),Baking time (hours),Resistive switching film,Bottom electrode material,Top electrode material,Set_Voltage_Mean
Sample_1,140.0,2.0,0,0,2,2.9770454545454546
Sample_2,140.0,4.0,0,0,2,4.4259
Sample_3,90.0,8.0,0,0,2,3.6471
Sample_4,140.0,2.0,0,1,2,2.333060606060606
Sample_5,140.0,4.0,0,1,2,2.8081
Sample_9,90.0,8.0,1,0,2,1.6142272727272726
Sample_11,90.0,8.0,1,1,2,3.863130630630631
Sample_12,90.0,8.0,1,0,1,1.5574811320754716
Sample_21,140.0,1.5,0,1,2,2.8081
Sample_22,140.0,1.5,0,0,2,2.9770454545454546
Sample_23,140.0,1.5,1,0,2,2.8081
Sample_24,140.0,1.5,1,1,2,2.8081
Sample_25,140.0,2.5,0,0,2,2.9770454545454546
Sample_26,140.0,2.5,0,1,2,2.8081
Sample_27,140.0,2.5,1,0,2,2.8081
Sample_28,140.0,2.5,1,1,2,2.8081
Sample_29,140.0,3.5,0,0,2,4.4259
Sample_30,140.0,3.5,0,1,2,2.8081
Sample_31,140.0,3.5,1,0,2,2.9770454545454546
Sample_32,140.0,3.5,1,1,2,2.8081
Sample_33,140.0,4.5,0,0,2,4.4259
Sample_34,140.0,4.5,0,1,2,2.8081
Sample_35,140.0,4.5,1,0,2,2.9770454545454546
Sample_36,140.0,4.5,1,1,2,2.8081
Sample_37,90.0,7.5,0,0,2,3.6471
Sample_38,90.0,7.5,0,1,2,3.6471
Sample_39,90.0,7.5,1,0,2,1.6142272727272726
Sample_40,90.0,7.5,1,1,2,3.863130630630631
Sample_41,90.0,8.5,0,0,2,3.6471
Sample_42,90.0,8.5,0,1,2,3.6471
Sample_43,90.0,8.5,1,0,2,1.6142272727272726
Sample_44,90.0,8.5,1,1,2,3.863130630630631
Sample_45,90.0,7.0,1,0,2,1.6142272727272726
Sample_46,90.0,7.0,0,1,2,3.6471
Sample_47,90.0,7.0,0,0,2,3.6471
Sample_48,90.0,7.0,1,1,2,3.863130630630631
Sample_49,90.0,9.0,1,0,2,1.6142272727272726
Sample_50,90.0,9.0,0,1,2,3.6471
Sample_51,90.0,9.0,0,0,2,3.6471
Sample_52,90.0,9.0,1,1,2,3.863130630630631
Sample_53,90.0,9.5,1,0,2,1.6142272727272726
Sample_54,90.0,9.5,0,1,2,3.6471
Sample_55,90.0,9.5,0,0,2,3.6471
Sample_56,90.0,9.5,1,1,2,3.863130630630631
Sample_57,90.0,10.0,1,0,2,1.6142272727272726
Sample_58,90.0,10.0,0,1,2,3.6471
Sample_59,90.0,10.0,0,0,2,3.6471
Sample_60,90.0,10.0,1,1,2,3.863130630630631
Sample_61,140.0,5.0,1,0,2,2.9770454545454546
Sample_62,140.0,5.0,0,1,2,2.8081
Sample_63,140.0,5.0,0,0,2,4.4259
Sample_64,140.0,5.0,1,1,2,2.8081
Sample_65,130.0,2.0,0,0,2,2.9770454545454546
Sample_66,130.0,2.0,0,1,2,2.8081
Sample_67,130.0,2.0,1,0,2,2.8081
Sample_68,130.0,2.0,1,1,2,2.8081
Sample_69,130.0,4.0,0,0,2,4.4259
Sample_70,130.0,4.0,0,1,2,2.8081
