,Baking temperature (°C),Baking time (hours),Resistive switching film,Bottom electrode material,Top electrode material,Set_Voltage_Mean
Sample_1,140.0,2.0,0,0,2,2.9770454545454546
Sample_2,140.0,4.0,0,0,2,4.4259
Sample_3,90.0,8.0,0,0,2,3.6471
Sample_4,140.0,2.0,0,1,2,2.333060606060606
Sample_5,140.0,4.0,0,1,2,2.8081
Sample_9,90.0,8.0,1,0,2,1.6142272727272726
Sample_11,90.0,8.0,1,1,2,3.863130630630631
Sample_12,90.0,8.0,1,0,1,1.5574811320754716
Sample_21,140.0,1.5,0,1,2,2.894162719958331
Sample_22,140.0,1.5,0,0,2,2.8598479285246867
Sample_23,140.0,1.5,1,0,2,2.285948327924416
Sample_24,140.0,1.5,1,1,2,2.320263119354422
Sample_25,140.0,2.5,0,0,2,3.011983019121544
Sample_26,140.0,2.5,0,1,2,3.0462978105551883
Sample_27,140.0,2.5,1,0,2,2.4380834185230924
Sample_28,140.0,2.5,1,1,2,2.4723982099530986
Sample_29,140.0,3.5,0,0,2,3.1641181097184017
Sample_30,140.0,3.5,0,1,2,3.198432901148408
Sample_31,140.0,3.5,1,0,2,2.590218509114493
Sample_32,140.0,3.5,1,1,2,2.624533300548137
Sample_33,140.0,4.5,0,0,2,3.316253200315259
Sample_34,140.0,4.5,0,1,2,3.3505679917489033
Sample_35,140.0,4.5,1,0,2,2.7423535997149884
Sample_36,140.0,4.5,1,1,2,2.7766683911449945
Sample_37,90.0,7.5,0,0,2,3.1887629974235097
Sample_38,90.0,7.5,0,1,2,3.223077788857154
Sample_39,90.0,7.5,1,0,2,2.614863396823239
Sample_40,90.0,7.5,1,1,2,2.649178188255064
Sample_41,90.0,8.5,0,0,2,3.3408980880230956
Sample_42,90.0,8.5,0,1,2,3.3752128794549208
Sample_43,90.0,8.5,1,0,2,2.766998487419187
Sample_44,90.0,8.5,1,1,2,2.801313278852831
Sample_45,90.0,7.0,1,0,2,2.5387958515239006
Sample_46,90.0,7.0,0,1,2,3.1470102435596345
Sample_47,90.0,7.0,0,0,2,3.1126954521259904
Sample_48,90.0,7.0,1,1,2,2.573110642955726
Sample_49,90.0,9.0,1,0,2,2.843066032718525
Sample_50,90.0,9.0,0,1,2,3.45128042475244
Sample_51,90.0,9.0,0,0,2,3.416965633318796
Sample_52,90.0,9.0,1,1,2,2.8773808241503502
Sample_53,90.0,9.5,1,0,2,2.919133578016954
Sample_54,90.0,9.5,0,1,2,3.5273479700526877
Sample_55,90.0,9.5,0,0,2,3.4930331786190436
Sample_56,90.0,9.5,1,1,2,2.953448369448779
Sample_57,90.0,10.0,1,0,2,2.9952011233172016
Sample_58,90.0,10.0,0,1,2,3.6034155153492975
Sample_59,90.0,10.0,0,0,2,3.5691007239156534
Sample_60,90.0,10.0,1,1,2,3.0295159147490267
Sample_61,140.0,5.0,1,0,2,2.818421145015236
Sample_62,140.0,5.0,0,1,2,3.426635537047332
Sample_63,140.0,5.0,0,0,2,3.392320745613688
Sample_64,140.0,5.0,1,1,2,2.8527359364452423
Sample_65,130.0,2.0,0,0,2,2.819136378886469
Sample_66,130.0,2.0,0,1,2,2.8534511703201133
