,Baking temperature (°C),Baking time (hours),Resistive switching film,Bottom electrode material,Top electrode material,Set_Voltage_Mean
Sample_1,140.0,2.0,0,0,2,2.9770454545454546
Sample_2,140.0,4.0,0,0,2,4.4259
Sample_3,90.0,8.0,0,0,2,3.6471
Sample_4,140.0,2.0,0,1,2,2.333060606060606
Sample_5,140.0,4.0,0,1,2,2.8081
Sample_9,90.0,8.0,1,0,2,1.6142272727272726
Sample_11,90.0,8.0,1,1,2,3.863130630630631
Sample_12,90.0,8.0,1,0,1,1.5574811320754716
Sample_21,140.0,1.5,0,1,2,2.56862603357903
Sample_22,140.0,1.5,0,0,2,3.218994121212125
Sample_23,140.0,1.5,1,0,2,2.341122511149229
Sample_24,140.0,1.5,1,1,2,2.4736273244170395
Sample_25,140.0,2.5,0,0,2,3.218994121212125
Sample_26,140.0,2.5,0,1,2,2.56862603357903
Sample_27,140.0,2.5,1,0,2,2.341122511149229
Sample_28,140.0,2.5,1,1,2,2.4736273244170395
Sample_29,140.0,3.5,0,0,2,3.920727393939401
Sample_30,140.0,3.5,0,1,2,3.060978882063884
Sample_31,140.0,3.5,1,0,2,2.557016268724989
Sample_32,140.0,3.5,1,1,2,2.742145556194272
Sample_33,140.0,4.5,0,0,2,3.920727393939401
Sample_34,140.0,4.5,0,1,2,3.060978882063884
Sample_35,140.0,4.5,1,0,2,2.557016268724989
Sample_36,140.0,4.5,1,1,2,2.742145556194272
Sample_37,90.0,7.5,0,0,2,3.335493885339888
Sample_38,90.0,7.5,0,1,2,3.3078135085995086
Sample_39,90.0,7.5,1,0,2,2.062510463647182
Sample_40,90.0,7.5,1,1,2,3.0288156168003315
Sample_41,90.0,8.5,0,0,2,3.335493885339888
Sample_42,90.0,8.5,0,1,2,3.3078135085995086
Sample_43,90.0,8.5,1,0,2,2.062510463647182
Sample_44,90.0,8.5,1,1,2,3.0288156168003315
Sample_45,90.0,7.0,1,0,2,2.062510463647182
Sample_46,90.0,7.0,0,1,2,3.3078135085995086
Sample_47,90.0,7.0,0,0,2,3.335493885339888
Sample_48,90.0,7.0,1,1,2,3.0288156168003315
Sample_49,90.0,9.0,1,0,2,2.062510463647182
Sample_50,90.0,9.0,0,1,2,3.3078135085995086
Sample_51,90.0,9.0,0,0,2,3.335493885339888
Sample_52,90.0,9.0,1,1,2,3.0288156168003315
Sample_53,90.0,9.5,1,0,2,2.062510463647182
Sample_54,90.0,9.5,0,1,2,3.3078135085995086
Sample_55,90.0,9.5,0,0,2,3.335493885339888
Sample_56,90.0,9.5,1,1,2,3.0288156168003315
Sample_57,90.0,10.0,1,0,2,2.062510463647182
Sample_58,90.0,10.0,0,1,2,3.3078135085995086
Sample_59,90.0,10.0,0,0,2,3.335493885339888
Sample_60,90.0,10.0,1,1,2,3.0288156168003315
Sample_61,140.0,5.0,1,0,2,2.557016268724989
Sample_62,140.0,5.0,0,1,2,3.060978882063884
Sample_63,140.0,5.0,0,0,2,3.920727393939401
Sample_64,140.0,5.0,1,1,2,2.742145556194272
Sample_65,130.0,2.0,0,0,2,3.218994121212125
Sample_66,130.0,2.0,0,1,2,2.56862603357903
Sample_67,130.0,2.0,1,0,2,2.341122511149229
