,Baking temperature (°C),Baking time (hours),Resistive switching film,Bottom electrode material,Top electrode material,Set_Voltage_Mean
Sample_1,140.0,2.0,0,0,2,2.9770454545454546
Sample_2,140.0,4.0,0,0,2,4.4259
Sample_3,90.0,8.0,0,0,2,3.6471
Sample_4,140.0,2.0,0,1,2,2.333060606060606
Sample_5,140.0,4.0,0,1,2,2.8081
Sample_9,90.0,8.0,1,0,2,1.6142272727272726
Sample_11,90.0,8.0,1,1,2,3.863130630630631
Sample_12,90.0,8.0,1,0,1,1.5574811320754716
Sample_21,140.0,1.5,0,1,2,2.89200087682271
Sample_22,140.0,1.5,0,0,2,2.892039287442448
Sample_23,140.0,1.5,1,0,2,2.8918936053218807
Sample_24,140.0,1.5,1,1,2,2.8918552384916456
Sample_25,140.0,2.5,0,0,2,2.892407567609141
Sample_26,140.0,2.5,0,1,2,2.892369284174415
Sample_27,140.0,2.5,1,0,2,2.8922616904650034
Sample_28,140.0,2.5,1,1,2,2.892223450852574
Sample_29,140.0,3.5,0,0,2,2.8927759191908735
Sample_30,140.0,3.5,0,1,2,2.8927377701334063
Sample_31,140.0,3.5,1,0,2,2.892629873732476
Sample_32,140.0,3.5,1,1,2,2.892591768522057
Sample_33,140.0,4.5,0,0,2,2.893144138698937
Sample_34,140.0,4.5,0,1,2,2.8931061311368507
Sample_35,140.0,4.5,1,0,2,2.8929979517284634
Sample_36,140.0,4.5,1,1,2,2.8929599880301207
Sample_37,90.0,7.5,0,0,2,2.8939058381384593
Sample_38,90.0,7.5,0,1,2,2.893943956742945
Sample_39,90.0,7.5,1,0,2,2.8937215512677206
Sample_40,90.0,7.5,1,1,2,2.8937597172313345
Sample_41,90.0,8.5,0,0,2,2.8941963059510676
Sample_42,90.0,8.5,0,1,2,2.8942345589204943
Sample_43,90.0,8.5,1,0,2,2.89401199233356
Sample_44,90.0,8.5,1,1,2,2.8940502926497427
Sample_45,90.0,7.0,1,0,2,2.8935760501993713
Sample_46,90.0,7.0,0,1,2,2.8937983596977417
Sample_47,90.0,7.0,0,0,2,2.8937603109518957
Sample_48,90.0,7.0,1,1,2,2.8936141463072658
Sample_49,90.0,9.0,1,0,2,2.894156892401872
Sample_50,90.0,9.0,0,1,2,2.8943795241014563
Sample_51,90.0,9.0,0,0,2,2.8943412066442558
Sample_52,90.0,9.0,1,1,2,2.894195257196378
Sample_53,90.0,9.5,1,0,2,2.8943015522891082
Sample_54,90.0,9.5,0,1,2,2.89452423879345
Sample_55,90.0,9.5,0,0,2,2.8944858586568696
Sample_56,90.0,9.5,1,1,2,2.894339979751367
Sample_57,90.0,10.0,1,0,2,2.8944459521596815
Sample_58,90.0,10.0,0,1,2,2.8946686831533626
Sample_59,90.0,10.0,0,0,2,2.8946302421544248
Sample_60,90.0,10.0,1,1,2,2.8944844404704986
Sample_61,140.0,5.0,1,0,2,2.8931818877094826
Sample_62,140.0,5.0,0,1,2,2.8932902011908297
Sample_63,140.0,5.0,0,0,2,2.8933281353601856
Sample_64,140.0,5.0,1,1,2,2.8931439974091946
Sample_65,130.0,2.0,0,0,2,2.892232237112794
Sample_66,130.0,2.0,0,1,2,2.8922081737432146
