,Sample,Baking temperature (°C),Baking time (hours),Resistive switching film,Bottom electrode material,Top electrode material,Form voltage
0,Sample_1,140.0,2.0,0,0,2,8.15
10,Sample_1,140.0,2.0,0,0,2,8.6
19,Sample_1,140.0,2.0,0,0,2,6.9
20,Sample_1,140.0,2.0,0,0,2,6.15
21,Sample_1,140.0,2.0,0,0,2,11.2
22,Sample_1,140.0,2.0,0,0,2,14.0
23,Sample_1,140.0,2.0,0,0,2,10.0
26,Sample_1,140.0,2.0,0,0,2,2.9
29,Sample_1,140.0,2.0,0,0,2,2.27
34,Sample_1,140.0,2.0,0,0,2,2.95
35,Sample_1,140.0,2.0,0,0,2,1.47
42,Sample_1,140.0,2.0,0,0,2,2.175
43,Sample_1,140.0,2.0,0,0,2,3.7
48,Sample_1,140.0,2.0,0,0,2,2.95
50,Sample_1,140.0,2.0,0,0,2,9.5
54,Sample_1,140.0,2.0,0,0,2,6.9
55,Sample_1,140.0,2.0,0,0,2,8.7
56,Sample_1,140.0,2.0,0,0,2,2.52
63,Sample_1,140.0,2.0,0,0,2,5.52
64,Sample_1,140.0,2.0,0,0,2,2.85
66,Sample_1,140.0,2.0,0,0,2,4.7
70,Sample_1,140.0,2.0,0,0,2,6.08
76,Sample_1,140.0,2.0,0,0,2,4.55
85,Sample_1,140.0,2.0,0,0,2,0.55
89,Sample_1,140.0,2.0,0,0,2,3.97
90,Sample_1,140.0,2.0,0,0,2,2.15
101,Sample_1,140.0,2.0,0,0,2,5.02
111,Sample_1,140.0,2.0,0,0,2,1.52
114,Sample_1,140.0,2.0,0,0,2,5.0
129,Sample_1,140.0,2.0,0,0,2,4.125
136,Sample_1,140.0,2.0,0,0,2,5.4
137,Sample_1,140.0,2.0,0,0,2,3.32
138,Sample_1,140.0,2.0,0,0,2,7.47
139,Sample_1,140.0,2.0,0,0,2,3.55
142,Sample_1,140.0,2.0,0,0,2,3.07
143,Sample_1,140.0,2.0,0,0,2,7.0
146,Sample_1,140.0,2.0,0,0,2,6.32
147,Sample_1,140.0,2.0,0,0,2,8.52
148,Sample_1,140.0,2.0,0,0,2,7.42
149,Sample_1,140.0,2.0,0,0,2,10.82
150,Sample_1,140.0,2.0,0,0,2,9.17
151,Sample_1,140.0,2.0,0,0,2,3.1
152,Sample_1,140.0,2.0,0,0,2,9.3
153,Sample_1,140.0,2.0,0,0,2,10.5
154,Sample_1,140.0,2.0,0,0,2,5.97
155,Sample_1,140.0,2.0,0,0,2,12.4
156,Sample_1,140.0,2.0,0,0,2,8.5
157,Sample_1,140.0,2.0,0,0,2,9.62
158,Sample_1,140.0,2.0,0,0,2,6.82
159,Sample_1,140.0,2.0,0,0,2,6.72
222,Sample_2,140.0,4.0,0,0,2,11.0
225,Sample_2,140.0,4.0,0,0,2,1.8
227,Sample_2,140.0,4.0,0,0,2,11.0
228,Sample_2,140.0,4.0,0,0,2,8.35
229,Sample_2,140.0,4.0,0,0,2,2.65
236,Sample_2,140.0,4.0,0,0,2,12.05
237,Sample_2,140.0,4.0,0,0,2,6.175
249,Sample_2,140.0,4.0,0,0,2,6.72
250,Sample_2,140.0,4.0,0,0,2,6.67
252,Sample_2,140.0,4.0,0,0,2,4.22
257,Sample_2,140.0,4.0,0,0,2,10.2
258,Sample_2,140.0,4.0,0,0,2,4.05
266,Sample_2,140.0,4.0,0,0,2,3.2
273,Sample_2,140.0,4.0,0,0,2,5.8
275,Sample_2,140.0,4.0,0,0,2,10.02
278,Sample_2,140.0,4.0,0,0,2,4.35
281,Sample_2,140.0,4.0,0,0,2,10.0
282,Sample_2,140.0,4.0,0,0,2,4.25
283,Sample_2,140.0,4.0,0,0,2,6.32
284,Sample_2,140.0,4.0,0,0,2,2.95
285,Sample_2,140.0,4.0,0,0,2,10.17
286,Sample_2,140.0,4.0,0,0,2,13.12
287,Sample_2,140.0,4.0,0,0,2,5.95
288,Sample_2,140.0,4.0,0,0,2,6.8
289,Sample_2,140.0,4.0,0,0,2,2.47
290,Sample_2,140.0,4.0,0,0,2,11.1
291,Sample_2,140.0,4.0,0,0,2,6.42
292,Sample_2,140.0,4.0,0,0,2,7.65
293,Sample_2,140.0,4.0,0,0,2,6.67
294,Sample_2,140.0,4.0,0,0,2,6.72
295,Sample_2,140.0,4.0,0,0,2,6.62
296,Sample_2,140.0,4.0,0,0,2,5.52
297,Sample_2,140.0,4.0,0,0,2,3.45
298,Sample_2,140.0,4.0,0,0,2,2.85
299,Sample_2,140.0,4.0,0,0,2,6.625
300,Sample_2,140.0,4.0,0,0,2,14.225
301,Sample_2,140.0,4.0,0,0,2,2.725
302,Sample_2,140.0,4.0,0,0,2,2.55
303,Sample_2,140.0,4.0,0,0,2,3.375
304,Sample_2,140.0,4.0,0,0,2,2.975
305,Sample_2,140.0,4.0,0,0,2,3.0
306,Sample_2,140.0,4.0,0,0,2,3.875
307,Sample_2,140.0,4.0,0,0,2,2.7
308,Sample_2,140.0,4.0,0,0,2,3.125
309,Sample_2,140.0,4.0,0,0,2,3.5
310,Sample_2,140.0,4.0,0,0,2,3.8
311,Sample_2,140.0,4.0,0,0,2,2.2
312,Sample_2,140.0,4.0,0,0,2,2.875
313,Sample_2,140.0,4.0,0,0,2,4.325
314,Sample_2,140.0,4.0,0,0,2,1.875
444,Sample_3,90.0,8.0,0,0,2,1.7
447,Sample_3,90.0,8.0,0,0,2,6.1
448,Sample_3,90.0,8.0,0,0,2,7.1
451,Sample_3,90.0,8.0,0,0,2,2.95
452,Sample_3,90.0,8.0,0,0,2,4.4
459,Sample_3,90.0,8.0,0,0,2,10.625
461,Sample_3,90.0,8.0,0,0,2,2.4
462,Sample_3,90.0,8.0,0,0,2,5.425
463,Sample_3,90.0,8.0,0,0,2,10.65
464,Sample_3,90.0,8.0,0,0,2,1.8
469,Sample_3,90.0,8.0,0,0,2,3.125
472,Sample_3,90.0,8.0,0,0,2,3.125
473,Sample_3,90.0,8.0,0,0,2,13.275
475,Sample_3,90.0,8.0,0,0,2,6.3
479,Sample_3,90.0,8.0,0,0,2,2.82
488,Sample_3,90.0,8.0,0,0,2,4.95
491,Sample_3,90.0,8.0,0,0,2,2.1
497,Sample_3,90.0,8.0,0,0,2,1.95
498,Sample_3,90.0,8.0,0,0,2,11.9
513,Sample_3,90.0,8.0,0,0,2,2.7
514,Sample_3,90.0,8.0,0,0,2,7.2
515,Sample_3,90.0,8.0,0,0,2,3.45
516,Sample_3,90.0,8.0,0,0,2,7.875
517,Sample_3,90.0,8.0,0,0,2,7.075
518,Sample_3,90.0,8.0,0,0,2,10.1
519,Sample_3,90.0,8.0,0,0,2,7.875
520,Sample_3,90.0,8.0,0,0,2,2.675
521,Sample_3,90.0,8.0,0,0,2,2.75
522,Sample_3,90.0,8.0,0,0,2,2.7
523,Sample_3,90.0,8.0,0,0,2,0.825
524,Sample_3,90.0,8.0,0,0,2,4.575
525,Sample_3,90.0,8.0,0,0,2,3.225
526,Sample_3,90.0,8.0,0,0,2,14.725
527,Sample_3,90.0,8.0,0,0,2,11.275
528,Sample_3,90.0,8.0,0,0,2,14.1
529,Sample_3,90.0,8.0,0,0,2,3.7
