,Sample,Baking temperature (°C),Baking time (hours),Resistive switching film,Bottom electrode material,Top electrode material,Reset voltage
0,Sample_1,140.0,2.0,0,0,2,-3.52
1,Sample_1,140.0,2.0,0,0,2,-2.75
2,Sample_1,140.0,2.0,0,0,2,-2.45
3,Sample_1,140.0,2.0,0,0,2,-2.3
4,Sample_1,140.0,2.0,0,0,2,-2.67
5,Sample_1,140.0,2.0,0,0,2,-2.6
6,Sample_1,140.0,2.0,0,0,2,-0.075
7,Sample_1,140.0,2.0,0,0,2,-1.5
8,Sample_1,140.0,2.0,0,0,2,-0.7
9,Sample_1,140.0,2.0,0,0,2,-0.725
10,Sample_1,140.0,2.0,0,0,2,-0.125
11,Sample_1,140.0,2.0,0,0,2,-2.8
12,Sample_1,140.0,2.0,0,0,2,-2.05
13,Sample_1,140.0,2.0,0,0,2,-3.175
14,Sample_1,140.0,2.0,0,0,2,-3.05
15,Sample_1,140.0,2.0,0,0,2,-0.1
16,Sample_1,140.0,2.0,0,0,2,-1.4
17,Sample_1,140.0,2.0,0,0,2,-1.63
18,Sample_1,140.0,2.0,0,0,2,-2.47
19,Sample_1,140.0,2.0,0,0,2,-1.6
20,Sample_1,140.0,2.0,0,0,2,-1.2
21,Sample_1,140.0,2.0,0,0,2,-2.8
22,Sample_1,140.0,2.0,0,0,2,-4.725
23,Sample_1,140.0,2.0,0,0,2,-2.0
24,Sample_1,140.0,2.0,0,0,2,-0.15
25,Sample_1,140.0,2.0,0,0,2,-0.475
26,Sample_1,140.0,2.0,0,0,2,-2.93
27,Sample_1,140.0,2.0,0,0,2,-3.02
28,Sample_1,140.0,2.0,0,0,2,-4.5
29,Sample_1,140.0,2.0,0,0,2,-3.15
30,Sample_1,140.0,2.0,0,0,2,-2.1
31,Sample_1,140.0,2.0,0,0,2,-0.35
32,Sample_1,140.0,2.0,0,0,2,-1.4
33,Sample_1,140.0,2.0,0,0,2,-3.17
34,Sample_1,140.0,2.0,0,0,2,-6.67
35,Sample_1,140.0,2.0,0,0,2,-2.6
36,Sample_1,140.0,2.0,0,0,2,-0.05
37,Sample_1,140.0,2.0,0,0,2,-2.05
38,Sample_1,140.0,2.0,0,0,2,-0.2
39,Sample_1,140.0,2.0,0,0,2,-1.03
40,Sample_1,140.0,2.0,0,0,2,-2.05
41,Sample_1,140.0,2.0,0,0,2,-0.4
42,Sample_1,140.0,2.0,0,0,2,-3.53
43,Sample_1,140.0,2.0,0,0,2,-1.98
44,Sample_1,140.0,2.0,0,0,2,-0.975
45,Sample_1,140.0,2.0,0,0,2,-2.2
46,Sample_1,140.0,2.0,0,0,2,-1.67
47,Sample_1,140.0,2.0,0,0,2,-1.1
48,Sample_1,140.0,2.0,0,0,2,-1.25
49,Sample_1,140.0,2.0,0,0,2,-0.925
50,Sample_1,140.0,2.0,0,0,2,-3.0
51,Sample_1,140.0,2.0,0,0,2,-2.4
52,Sample_1,140.0,2.0,0,0,2,-2.6
53,Sample_1,140.0,2.0,0,0,2,-2.1
54,Sample_1,140.0,2.0,0,0,2,-2.0
55,Sample_1,140.0,2.0,0,0,2,-1.1
