Sample,Baking temperature (°C),Baking time (hours),Resistive switching film,Bottom electrode material,Top electrode material,SET Voltage,Set_voltage_kde
Sample_1,140.0,2.0,0.0,0.0,2.0,0.0,-0.013489887
Sample_1,140.0,2.0,0.0,0.0,2.0,0.2,0.10991198
Sample_1,140.0,2.0,0.0,0.0,2.0,0.4,0.1785638
Sample_1,140.0,2.0,0.0,0.0,2.0,0.6000000000000001,0.020028308
Sample_1,140.0,2.0,0.0,0.0,2.0,0.8,0.10821618
Sample_1,140.0,2.0,0.0,0.0,2.0,1.0,0.11574416
Sample_1,140.0,2.0,0.0,0.0,2.0,1.2000000000000002,0.1311652
Sample_1,140.0,2.0,0.0,0.0,2.0,1.4000000000000001,0.13809675
Sample_1,140.0,2.0,0.0,0.0,2.0,1.6,0.19559841
Sample_1,140.0,2.0,0.0,0.0,2.0,1.8,0.20891993
Sample_1,140.0,2.0,0.0,0.0,2.0,2.0,0.19978519
Sample_1,140.0,2.0,0.0,0.0,2.0,2.2,0.21262053
Sample_1,140.0,2.0,0.0,0.0,2.0,2.4000000000000004,0.23134473
Sample_1,140.0,2.0,0.0,0.0,2.0,2.6,0.2106835
Sample_1,140.0,2.0,0.0,0.0,2.0,2.8000000000000003,0.23930849
Sample_1,140.0,2.0,0.0,0.0,2.0,3.0,0.21970282
Sample_1,140.0,2.0,0.0,0.0,2.0,3.2,0.22015572
Sample_1,140.0,2.0,0.0,0.0,2.0,3.4000000000000004,0.24567989
Sample_1,140.0,2.0,0.0,0.0,2.0,3.6,0.20760198
Sample_1,140.0,2.0,0.0,0.0,2.0,3.8000000000000003,0.19116859
Sample_1,140.0,2.0,0.0,0.0,2.0,4.0,0.17597741
Sample_1,140.0,2.0,0.0,0.0,2.0,4.2,0.16084886
Sample_1,140.0,2.0,0.0,0.0,2.0,4.4,0.11809905
Sample_1,140.0,2.0,0.0,0.0,2.0,4.6000000000000005,0.17150486
Sample_1,140.0,2.0,0.0,0.0,2.0,4.800000000000001,0.08012858
Sample_1,140.0,2.0,0.0,0.0,2.0,5.0,0.10596378
Sample_1,140.0,2.0,0.0,0.0,2.0,5.2,0.06141691
Sample_1,140.0,2.0,0.0,0.0,2.0,5.4,0.12137201
Sample_1,140.0,2.0,0.0,0.0,2.0,5.6000000000000005,0.08206189
Sample_1,140.0,2.0,0.0,0.0,2.0,5.800000000000001,0.11241159
Sample_1,140.0,2.0,0.0,0.0,2.0,6.0,0.060556993
Sample_1,140.0,2.0,0.0,0.0,2.0,6.2,0.11976228
Sample_1,140.0,2.0,0.0,0.0,2.0,6.4,0.052133128
Sample_1,140.0,2.0,0.0,0.0,2.0,6.6000000000000005,0.056552544
Sample_1,140.0,2.0,0.0,0.0,2.0,6.800000000000001,0.051040724
Sample_1,140.0,2.0,0.0,0.0,2.0,7.0,0.053846285
Sample_1,140.0,2.0,0.0,0.0,2.0,7.2,0.05791451
Sample_1,140.0,2.0,0.0,0.0,2.0,7.4,0.050439432
Sample_1,140.0,2.0,0.0,0.0,2.0,7.6000000000000005,0.079956815
Sample_1,140.0,2.0,0.0,0.0,2.0,7.800000000000001,0.063546345
Sample_1,140.0,2.0,0.0,0.0,2.0,8.0,0.020987228
Sample_1,140.0,2.0,0.0,0.0,2.0,8.200000000000001,-0.0060771853
Sample_1,140.0,2.0,0.0,0.0,2.0,8.4,0.12296753
Sample_1,140.0,2.0,0.0,0.0,2.0,8.6,0.0545986
Sample_1,140.0,2.0,0.0,0.0,2.0,8.8,0.10112582
Sample_1,140.0,2.0,0.0,0.0,2.0,9.0,0.019558743
Sample_1,140.0,2.0,0.0,0.0,2.0,9.200000000000001,0.07214211
Sample_1,140.0,2.0,0.0,0.0,2.0,9.4,0.07866296
Sample_1,140.0,2.0,0.0,0.0,2.0,9.600000000000001,0.09095479
Sample_1,140.0,2.0,0.0,0.0,2.0,9.8,0.03605078
Sample_1,140.0,2.0,0.0,0.0,2.0,10.0,0.0382884
