Sample,Baking temperature (°C),Baking time (hours),Resistive switching film,Bottom electrode material,Top electrode material,SET Voltage,Set_voltage_kde
Sample_1,140.0,2.0,0.0,0.0,2.0,0.0,0.19919512
Sample_1,140.0,2.0,0.0,0.0,2.0,0.25,0.21429738
Sample_1,140.0,2.0,0.0,0.0,2.0,0.5,0.15561807
Sample_1,140.0,2.0,0.0,0.0,2.0,0.75,0.12010689
Sample_1,140.0,2.0,0.0,0.0,2.0,1.0,0.1616088
Sample_1,140.0,2.0,0.0,0.0,2.0,1.25,0.15412876
Sample_1,140.0,2.0,0.0,0.0,2.0,1.5,0.21456254
Sample_1,140.0,2.0,0.0,0.0,2.0,1.75,0.1961309
Sample_1,140.0,2.0,0.0,0.0,2.0,2.0,0.16572031
Sample_1,140.0,2.0,0.0,0.0,2.0,2.25,0.25035885
Sample_1,140.0,2.0,0.0,0.0,2.0,2.5,0.1958411
Sample_1,140.0,2.0,0.0,0.0,2.0,2.75,0.09191731
Sample_1,140.0,2.0,0.0,0.0,2.0,3.0,0.18108939
Sample_1,140.0,2.0,0.0,0.0,2.0,3.25,0.16728126
Sample_1,140.0,2.0,0.0,0.0,2.0,3.5,0.15981668
Sample_1,140.0,2.0,0.0,0.0,2.0,3.75,0.13902102
Sample_1,140.0,2.0,0.0,0.0,2.0,4.0,0.21856901
Sample_1,140.0,2.0,0.0,0.0,2.0,4.25,0.18203366
Sample_1,140.0,2.0,0.0,0.0,2.0,4.5,0.12096134
Sample_1,140.0,2.0,0.0,0.0,2.0,4.75,0.1826975
Sample_1,140.0,2.0,0.0,0.0,2.0,5.0,0.20961854
Sample_1,140.0,2.0,0.0,0.0,2.0,5.25,0.11110357
Sample_1,140.0,2.0,0.0,0.0,2.0,5.5,0.20079109
Sample_1,140.0,2.0,0.0,0.0,2.0,5.75,0.16101775
Sample_1,140.0,2.0,0.0,0.0,2.0,6.0,0.2651663
Sample_1,140.0,2.0,0.0,0.0,2.0,6.25,0.12846594
Sample_1,140.0,2.0,0.0,0.0,2.0,6.5,0.088655375
Sample_1,140.0,2.0,0.0,0.0,2.0,6.75,0.13324004
Sample_1,140.0,2.0,0.0,0.0,2.0,7.0,0.10857332
Sample_1,140.0,2.0,0.0,0.0,2.0,7.25,0.15691935
Sample_1,140.0,2.0,0.0,0.0,2.0,7.5,0.08345755
Sample_1,140.0,2.0,0.0,0.0,2.0,7.75,0.0019283295
Sample_1,140.0,2.0,0.0,0.0,2.0,8.0,0.1319109
Sample_1,140.0,2.0,0.0,0.0,2.0,8.25,0.038231634
Sample_1,140.0,2.0,0.0,0.0,2.0,8.5,0.019471414
Sample_1,140.0,2.0,0.0,0.0,2.0,8.75,0.0694394
Sample_1,140.0,2.0,0.0,0.0,2.0,9.0,0.09886545
Sample_1,140.0,2.0,0.0,0.0,2.0,9.25,0.065359786
Sample_1,140.0,2.0,0.0,0.0,2.0,9.5,-0.010816038
Sample_1,140.0,2.0,0.0,0.0,2.0,9.75,0.054906946
Sample_1,140.0,2.0,0.0,0.0,2.0,10.0,0.07184031
