Sample,Baking temperature (°C),Baking time (hours),Resistive switching film,Bottom electrode material,Top electrode material,SET Voltage,Set_voltage_kde
Sample_1,140.0,2.0,0,0,2,0.0,0.055023150908611325
Sample_1,140.0,2.0,0,0,2,0.01,0.05566739997039161
Sample_1,140.0,2.0,0,0,2,0.02,0.05631634246129733
Sample_1,140.0,2.0,0,0,2,0.03,0.0569699615428501
Sample_1,140.0,2.0,0,0,2,0.04,0.057628239546273594
Sample_1,140.0,2.0,0,0,2,0.05,0.058291157973612916
Sample_1,140.0,2.0,0,0,2,0.06,0.058958697499102236
Sample_1,140.0,2.0,0,0,2,0.07,0.059630837970773405
Sample_1,140.0,2.0,0,0,2,0.08,0.060307558412304
Sample_1,140.0,2.0,0,0,2,0.09,0.0609888370251013
Sample_1,140.0,2.0,0,0,2,0.1,0.06167465119061837
Sample_1,140.0,2.0,0,0,2,0.11,0.06236497747289722
Sample_1,140.0,2.0,0,0,2,0.12,0.063059791621337
Sample_1,140.0,2.0,0,0,2,0.13,0.06375906857368187
Sample_1,140.0,2.0,0,0,2,0.14,0.06446278245922338
Sample_1,140.0,2.0,0,0,2,0.15,0.06517090660221447
Sample_1,140.0,2.0,0,0,2,0.16,0.06588341352549046
Sample_1,140.0,2.0,0,0,2,0.17,0.06660027495429013
Sample_1,140.0,2.0,0,0,2,0.18,0.06732146182027453
Sample_1,140.0,2.0,0,0,2,0.19,0.06804694426573639
Sample_1,140.0,2.0,0,0,2,0.2,0.0687766916479961
Sample_1,140.0,2.0,0,0,2,0.21,0.06951067254398018
Sample_1,140.0,2.0,0,0,2,0.22,0.07024885475497356
Sample_1,140.0,2.0,0,0,2,0.23,0.07099120531154221
Sample_1,140.0,2.0,0,0,2,0.24,0.07173769047862309
Sample_1,140.0,2.0,0,0,2,0.25,0.07248827576076865
Sample_1,140.0,2.0,0,0,2,0.26,0.0732429259075497
Sample_1,140.0,2.0,0,0,2,0.27,0.0740016049191007
Sample_1,140.0,2.0,0,0,2,0.28,0.07476427605181078
Sample_1,140.0,2.0,0,0,2,0.29,0.07553090182414805
Sample_1,140.0,2.0,0,0,2,0.3,0.07630144402261484
Sample_1,140.0,2.0,0,0,2,0.31,0.07707586370782488
Sample_1,140.0,2.0,0,0,2,0.32,0.07785412122070146
Sample_1,140.0,2.0,0,0,2,0.33,0.07863617618878317
Sample_1,140.0,2.0,0,0,2,0.34,0.0794219875326383
Sample_1,140.0,2.0,0,0,2,0.35000000000000003,0.08021151347237583
Sample_1,140.0,2.0,0,0,2,0.36,0.0810047115342534
Sample_1,140.0,2.0,0,0,2,0.37,0.08180153855736813
Sample_1,140.0,2.0,0,0,2,0.38,0.08260195070043276
Sample_1,140.0,2.0,0,0,2,0.39,0.08340590344862309
Sample_1,140.0,2.0,0,0,2,0.4,0.0842133516204967
Sample_1,140.0,2.0,0,0,2,0.41000000000000003,0.08502424937497487
Sample_1,140.0,2.0,0,0,2,0.42,0.08583855021837922
Sample_1,140.0,2.0,0,0,2,0.43,0.08665620701152273
Sample_1,140.0,2.0,0,0,2,0.44,0.08747717197684396
Sample_1,140.0,2.0,0,0,2,0.45,0.08830139670558035
Sample_1,140.0,2.0,0,0,2,0.46,0.08912883216497744
Sample_1,140.0,2.0,0,0,2,0.47000000000000003,0.08995942870552465
Sample_1,140.0,2.0,0,0,2,0.48,0.09079313606821597
Sample_1,140.0,2.0,0,0,2,0.49,0.09162990339182364
Sample_1,140.0,2.0,0,0,2,0.5,0.09246967922018876
Sample_1,140.0,2.0,0,0,2,0.51,0.0933124115095152
Sample_1,140.0,2.0,0,0,2,0.52,0.09415804763566732
Sample_1,140.0,2.0,0,0,2,0.53,0.09500653440146221
Sample_1,140.0,2.0,0,0,2,0.54,0.09585781804395735
Sample_1,140.0,2.0,0,0,2,0.55,0.09671184424171965
Sample_1,140.0,2.0,0,0,2,0.56,0.0975685581220837
Sample_1,140.0,2.0,0,0,2,0.5700000000000001,0.09842790426838424
Sample_1,140.0,2.0,0,0,2,0.58,0.09928982672716198
Sample_1,140.0,2.0,0,0,2,0.59,0.10015426901534223
Sample_1,140.0,2.0,0,0,2,0.6,0.10102117412737742
Sample_1,140.0,2.0,0,0,2,0.61,0.10189048454235232
Sample_1,140.0,2.0,0,0,2,0.62,0.10276214223104733
Sample_1,140.0,2.0,0,0,2,0.63,0.10363608866295726
Sample_1,140.0,2.0,0,0,2,0.64,0.10451226481326364
Sample_1,140.0,2.0,0,0,2,0.65,0.10539061116975247
Sample_1,140.0,2.0,0,0,2,0.66,0.10627106773968167
Sample_1,140.0,2.0,0,0,2,0.67,0.10715357405659015
Sample_1,140.0,2.0,0,0,2,0.68,0.10803806918704668
Sample_1,140.0,2.0,0,0,2,0.6900000000000001,0.10892449173734171
Sample_1,140.0,2.0,0,0,2,0.7000000000000001,0.10981277986011222
Sample_1,140.0,2.0,0,0,2,0.71,0.11070287126090164
Sample_1,140.0,2.0,0,0,2,0.72,0.11159470320465745
Sample_1,140.0,2.0,0,0,2,0.73,0.11248821252215237
Sample_1,140.0,2.0,0,0,2,0.74,0.11338333561634809
Sample_1,140.0,2.0,0,0,2,0.75,0.11428000846867752
Sample_1,140.0,2.0,0,0,2,0.76,0.11517816664526287
Sample_1,140.0,2.0,0,0,2,0.77,0.11607774530306164
Sample_1,140.0,2.0,0,0,2,0.78,0.11697867919593839
Sample_1,140.0,2.0,0,0,2,0.79,0.11788090268066742
Sample_1,140.0,2.0,0,0,2,0.8,0.11878434972286145
Sample_1,140.0,2.0,0,0,2,0.81,0.11968895390283475
Sample_1,140.0,2.0,0,0,2,0.8200000000000001,0.12059464842138487
Sample_1,140.0,2.0,0,0,2,0.8300000000000001,0.12150136610551769
Sample_1,140.0,2.0,0,0,2,0.84,0.12240903941409328
Sample_1,140.0,2.0,0,0,2,0.85,0.12331760044340928
Sample_1,140.0,2.0,0,0,2,0.86,0.12422698093271979
Sample_1,140.0,2.0,0,0,2,0.87,0.1251371122696828
Sample_1,140.0,2.0,0,0,2,0.88,0.12604792549575355
Sample_1,140.0,2.0,0,0,2,0.89,0.12695935131151215
Sample_1,140.0,2.0,0,0,2,0.9,0.12787132008193466
Sample_1,140.0,2.0,0,0,2,0.91,0.1287837618416104
Sample_1,140.0,2.0,0,0,2,0.92,0.12969660629990223
Sample_1,140.0,2.0,0,0,2,0.93,0.1306097828460613
Sample_1,140.0,2.0,0,0,2,0.9400000000000001,0.13152322055429191
Sample_1,140.0,2.0,0,0,2,0.9500000000000001,0.13243684818877383
Sample_1,140.0,2.0,0,0,2,0.96,0.13335059420864562
Sample_1,140.0,2.0,0,0,2,0.97,0.13426438677294944
Sample_1,140.0,2.0,0,0,2,0.98,0.13517815374554365
Sample_1,140.0,2.0,0,0,2,0.99,0.13609182269998793
Sample_1,140.0,2.0,0,0,2,1.0,0.13700532092440315
Sample_1,140.0,2.0,0,0,2,1.01,0.137918575426308
Sample_1,140.0,2.0,0,0,2,1.02,0.13883151293744622
Sample_1,140.0,2.0,0,0,2,1.03,0.139744059918597
Sample_1,140.0,2.0,0,0,2,1.04,0.14065614256437886
Sample_1,140.0,2.0,0,0,2,1.05,0.14156768680805598
Sample_1,140.0,2.0,0,0,2,1.06,0.1424786183263438
Sample_1,140.0,2.0,0,0,2,1.07,0.14338886254422392
Sample_1,140.0,2.0,0,0,2,1.08,0.14429834463977378
Sample_1,140.0,2.0,0,0,2,1.09,0.14520698954901404
Sample_1,140.0,2.0,0,0,2,1.1,0.14611472197077793
Sample_1,140.0,2.0,0,0,2,1.11,0.14702146637161698
Sample_1,140.0,2.0,0,0,2,1.12,0.14792714699073137
Sample_1,140.0,2.0,0,0,2,1.1300000000000001,0.14883168784495193
Sample_1,140.0,2.0,0,0,2,1.1400000000000001,0.1497350127337621
