,Sample,Baking temperature (°C),Baking time (hours),Resistive switching film,Bottom electrode material,Top electrode material,SET Voltage
1,Sample_A,140.0,2.0,0,0,2,4.95
2,Sample_A,140.0,2.0,0,0,2,1.45
3,Sample_A,140.0,2.0,0,0,2,2.3
4,Sample_A,140.0,2.0,0,0,2,3.3
5,Sample_A,140.0,2.0,0,0,2,1.75
6,Sample_A,140.0,2.0,0,0,2,3.72
7,Sample_A,140.0,2.0,0,0,2,4.17
8,Sample_A,140.0,2.0,0,0,2,4.07
9,Sample_A,140.0,2.0,0,0,2,3.25
11,Sample_A,140.0,2.0,0,0,2,4.9
12,Sample_A,140.0,2.0,0,0,2,3.67
13,Sample_A,140.0,2.0,0,0,2,3.9
14,Sample_A,140.0,2.0,0,0,2,3.9
15,Sample_A,140.0,2.0,0,0,2,0.725
16,Sample_A,140.0,2.0,0,0,2,2.25
17,Sample_A,140.0,2.0,0,0,2,4.65
18,Sample_A,140.0,2.0,0,0,2,4.47
24,Sample_A,140.0,2.0,0,0,2,2.45
25,Sample_A,140.0,2.0,0,0,2,2.2
27,Sample_A,140.0,2.0,0,0,2,4.4
28,Sample_A,140.0,2.0,0,0,2,5.775
30,Sample_A,140.0,2.0,0,0,2,2.73
31,Sample_A,140.0,2.0,0,0,2,2.65
32,Sample_A,140.0,2.0,0,0,2,2.77
33,Sample_A,140.0,2.0,0,0,2,1.6
36,Sample_A,140.0,2.0,0,0,2,2.4
37,Sample_A,140.0,2.0,0,0,2,2.8
38,Sample_A,140.0,2.0,0,0,2,3.02
39,Sample_A,140.0,2.0,0,0,2,3.3
40,Sample_A,140.0,2.0,0,0,2,3.45
41,Sample_A,140.0,2.0,0,0,2,3.15
44,Sample_A,140.0,2.0,0,0,2,0.975
45,Sample_A,140.0,2.0,0,0,2,1.35
46,Sample_A,140.0,2.0,0,0,2,1.875
47,Sample_A,140.0,2.0,0,0,2,5.7
49,Sample_A,140.0,2.0,0,0,2,0.775
51,Sample_A,140.0,2.0,0,0,2,1.8
52,Sample_A,140.0,2.0,0,0,2,1.9
53,Sample_A,140.0,2.0,0,0,2,1.85
57,Sample_A,140.0,2.0,0,0,2,1.27
58,Sample_A,140.0,2.0,0,0,2,2.42
59,Sample_A,140.0,2.0,0,0,2,0.75
60,Sample_A,140.0,2.0,0,0,2,1.02
61,Sample_A,140.0,2.0,0,0,2,2.15
62,Sample_A,140.0,2.0,0,0,2,2.45
65,Sample_A,140.0,2.0,0,0,2,3.27
67,Sample_A,140.0,2.0,0,0,2,2.97
68,Sample_A,140.0,2.0,0,0,2,2.2
69,Sample_A,140.0,2.0,0,0,2,2.675
71,Sample_A,140.0,2.0,0,0,2,1.675
72,Sample_A,140.0,2.0,0,0,2,2.625
73,Sample_A,140.0,2.0,0,0,2,2.85
74,Sample_A,140.0,2.0,0,0,2,2.85
75,Sample_A,140.0,2.0,0,0,2,2.8
77,Sample_A,140.0,2.0,0,0,2,2.52
78,Sample_A,140.0,2.0,0,0,2,2.55
79,Sample_A,140.0,2.0,0,0,2,3.67
80,Sample_A,140.0,2.0,0,0,2,3.025
81,Sample_A,140.0,2.0,0,0,2,3.35
82,Sample_A,140.0,2.0,0,0,2,9.5
83,Sample_A,140.0,2.0,0,0,2,0.8
84,Sample_A,140.0,2.0,0,0,2,0.525
86,Sample_A,140.0,2.0,0,0,2,1.02
87,Sample_A,140.0,2.0,0,0,2,1.27
88,Sample_A,140.0,2.0,0,0,2,2.17
91,Sample_A,140.0,2.0,0,0,2,3.05
92,Sample_A,140.0,2.0,0,0,2,2.55
93,Sample_A,140.0,2.0,0,0,2,4.92
94,Sample_A,140.0,2.0,0,0,2,5.1
95,Sample_A,140.0,2.0,0,0,2,5.12
96,Sample_A,140.0,2.0,0,0,2,5.15
97,Sample_A,140.0,2.0,0,0,2,5.25
98,Sample_A,140.0,2.0,0,0,2,5.27
99,Sample_A,140.0,2.0,0,0,2,6.57
100,Sample_A,140.0,2.0,0,0,2,5.97
102,Sample_A,140.0,2.0,0,0,2,5.2
103,Sample_A,140.0,2.0,0,0,2,5.02
104,Sample_A,140.0,2.0,0,0,2,3.15
105,Sample_A,140.0,2.0,0,0,2,5.0
106,Sample_A,140.0,2.0,0,0,2,3.9
107,Sample_A,140.0,2.0,0,0,2,1.05
108,Sample_A,140.0,2.0,0,0,2,1.02
109,Sample_A,140.0,2.0,0,0,2,0.625
110,Sample_A,140.0,2.0,0,0,2,2.77
112,Sample_A,140.0,2.0,0,0,2,2.3
113,Sample_A,140.0,2.0,0,0,2,2.4
115,Sample_A,140.0,2.0,0,0,2,3.77
116,Sample_A,140.0,2.0,0,0,2,-0.875
117,Sample_A,140.0,2.0,0,0,2,3.25
118,Sample_A,140.0,2.0,0,0,2,2.42
119,Sample_A,140.0,2.0,0,0,2,3.125
120,Sample_A,140.0,2.0,0,0,2,2.25
121,Sample_A,140.0,2.0,0,0,2,1.45
122,Sample_A,140.0,2.0,0,0,2,2.95
123,Sample_A,140.0,2.0,0,0,2,1.625
124,Sample_A,140.0,2.0,0,0,2,0.725
125,Sample_A,140.0,2.0,0,0,2,3.55
126,Sample_A,140.0,2.0,0,0,2,2.05
127,Sample_A,140.0,2.0,0,0,2,3.95
128,Sample_A,140.0,2.0,0,0,2,4.22
130,Sample_A,140.0,2.0,0,0,2,2.1
131,Sample_A,140.0,2.0,0,0,2,1.775
132,Sample_A,140.0,2.0,0,0,2,2.225
133,Sample_A,140.0,2.0,0,0,2,1.92
134,Sample_A,140.0,2.0,0,0,2,2.1
135,Sample_A,140.0,2.0,0,0,2,1.4
140,Sample_A,140.0,2.0,0,0,2,3.65
141,Sample_A,140.0,2.0,0,0,2,3.57
144,Sample_A,140.0,2.0,0,0,2,5.5
145,Sample_A,140.0,2.0,0,0,2,6.67
223,Sample_B,140.0,4.0,0,0,2,1.4
224,Sample_B,140.0,4.0,0,0,2,5.0
226,Sample_B,140.0,4.0,0,0,2,0.77
230,Sample_B,140.0,4.0,0,0,2,1.5
231,Sample_B,140.0,4.0,0,0,2,2.92
232,Sample_B,140.0,4.0,0,0,2,3.125
233,Sample_B,140.0,4.0,0,0,2,3.125
234,Sample_B,140.0,4.0,0,0,2,3.375
235,Sample_B,140.0,4.0,0,0,2,2.35
238,Sample_B,140.0,4.0,0,0,2,3.65
239,Sample_B,140.0,4.0,0,0,2,3.67
240,Sample_B,140.0,4.0,0,0,2,4.02
241,Sample_B,140.0,4.0,0,0,2,4.1
242,Sample_B,140.0,4.0,0,0,2,4.2
243,Sample_B,140.0,4.0,0,0,2,4.32
244,Sample_B,140.0,4.0,0,0,2,2.3
245,Sample_B,140.0,4.0,0,0,2,2.4
246,Sample_B,140.0,4.0,0,0,2,0.675
247,Sample_B,140.0,4.0,0,0,2,3.27
248,Sample_B,140.0,4.0,0,0,2,3.82
259,Sample_B,140.0,4.0,0,0,2,4.47
260,Sample_B,140.0,4.0,0,0,2,4.37
261,Sample_B,140.0,4.0,0,0,2,4.27
263,Sample_B,140.0,4.0,0,0,2,4.6
264,Sample_B,140.0,4.0,0,0,2,4.65
265,Sample_B,140.0,4.0,0,0,2,4.6
267,Sample_B,140.0,4.0,0,0,2,2.2
268,Sample_B,140.0,4.0,0,0,2,3.1
269,Sample_B,140.0,4.0,0,0,2,3.1
270,Sample_B,140.0,4.0,0,0,2,3.65
271,Sample_B,140.0,4.0,0,0,2,3.87
272,Sample_B,140.0,4.0,0,0,2,1.67
274,Sample_B,140.0,4.0,0,0,2,5.82
276,Sample_B,140.0,4.0,0,0,2,12.62
277,Sample_B,140.0,4.0,0,0,2,12.72
279,Sample_B,140.0,4.0,0,0,2,4.625
280,Sample_B,140.0,4.0,0,0,2,1.05
315,Sample_B,140.0,4.0,0,0,2,2.15
316,Sample_B,140.0,4.0,0,0,2,3.22
317,Sample_B,140.0,4.0,0,0,2,3.77
318,Sample_B,140.0,4.0,0,0,2,11.17
319,Sample_B,140.0,4.0,0,0,2,8.65
320,Sample_B,140.0,4.0,0,0,2,6.35
321,Sample_B,140.0,4.0,0,0,2,8.25
322,Sample_B,140.0,4.0,0,0,2,1.0
323,Sample_B,140.0,4.0,0,0,2,2.6
324,Sample_B,140.0,4.0,0,0,2,3.05
325,Sample_B,140.0,4.0,0,0,2,7.82
326,Sample_B,140.0,4.0,0,0,2,10.72
327,Sample_B,140.0,4.0,0,0,2,11.17
445,Sample_C,90.0,8.0,0,0,2,1.77
446,Sample_C,90.0,8.0,0,0,2,1.7
449,Sample_C,90.0,8.0,0,0,2,2.1
450,Sample_C,90.0,8.0,0,0,2,2.95
453,Sample_C,90.0,8.0,0,0,2,4.9
454,Sample_C,90.0,8.0,0,0,2,4.875
455,Sample_C,90.0,8.0,0,0,2,4.875
456,Sample_C,90.0,8.0,0,0,2,5.75
457,Sample_C,90.0,8.0,0,0,2,5.85
458,Sample_C,90.0,8.0,0,0,2,6.025
460,Sample_C,90.0,8.0,0,0,2,1.075
465,Sample_C,90.0,8.0,0,0,2,0.5
466,Sample_C,90.0,8.0,0,0,2,0.975
467,Sample_C,90.0,8.0,0,0,2,1.5
468,Sample_C,90.0,8.0,0,0,2,1.05
470,Sample_C,90.0,8.0,0,0,2,2.3
471,Sample_C,90.0,8.0,0,0,2,3.075
474,Sample_C,90.0,8.0,0,0,2,1.3
476,Sample_C,90.0,8.0,0,0,2,4.3
477,Sample_C,90.0,8.0,0,0,2,3.17
478,Sample_C,90.0,8.0,0,0,2,4.0
480,Sample_C,90.0,8.0,0,0,2,3.42
481,Sample_C,90.0,8.0,0,0,2,2.77
482,Sample_C,90.0,8.0,0,0,2,3.67
483,Sample_C,90.0,8.0,0,0,2,6.52
484,Sample_C,90.0,8.0,0,0,2,4.22
485,Sample_C,90.0,8.0,0,0,2,1.77
486,Sample_C,90.0,8.0,0,0,2,3.82
487,Sample_C,90.0,8.0,0,0,2,1.77
489,Sample_C,90.0,8.0,0,0,2,5.67
490,Sample_C,90.0,8.0,0,0,2,5.65
492,Sample_C,90.0,8.0,0,0,2,2.65
493,Sample_C,90.0,8.0,0,0,2,2.27
494,Sample_C,90.0,8.0,0,0,2,3.15
495,Sample_C,90.0,8.0,0,0,2,2.95
496,Sample_C,90.0,8.0,0,0,2,6.22
499,Sample_C,90.0,8.0,0,0,2,4.37
500,Sample_C,90.0,8.0,0,0,2,4.0
501,Sample_C,90.0,8.0,0,0,2,8.2
502,Sample_C,90.0,8.0,0,0,2,1.15
503,Sample_C,90.0,8.0,0,0,2,3.275
504,Sample_C,90.0,8.0,0,0,2,8.075
505,Sample_C,90.0,8.0,0,0,2,5.0
506,Sample_C,90.0,8.0,0,0,2,1.6
507,Sample_C,90.0,8.0,0,0,2,3.175
508,Sample_C,90.0,8.0,0,0,2,3.825
509,Sample_C,90.0,8.0,0,0,2,5.35
510,Sample_C,90.0,8.0,0,0,2,4.15
511,Sample_C,90.0,8.0,0,0,2,5.125
512,Sample_C,90.0,8.0,0,0,2,4.5
667,Sample_D,140.0,2.0,0,1,2,2.1
669,Sample_D,140.0,2.0,0,1,2,5.1
670,Sample_D,140.0,2.0,0,1,2,8.5
