Sample,Baking temperature (°C),Baking time (hours),Resistive switching film,Bottom electrode material,Top electrode material,SET Voltage,Set_voltage_kde
Sample_1,140.0,2.0,0,0,2,4.95,0.10617125672070772
Sample_1,140.0,2.0,0,0,2,1.45,0.17671091648545387
Sample_1,140.0,2.0,0,0,2,2.3,0.22566572901554902
Sample_1,140.0,2.0,0,0,2,3.3,0.20698668777473586
Sample_1,140.0,2.0,0,0,2,1.75,0.1994249523488882
Sample_1,140.0,2.0,0,0,2,3.72,0.1809416280893533
Sample_1,140.0,2.0,0,0,2,4.17,0.1510491320861502
Sample_1,140.0,2.0,0,0,2,4.07,0.1575595651219779
Sample_1,140.0,2.0,0,0,2,3.25,0.20966341707102296
Sample_1,140.0,2.0,0,0,2,4.9,0.10875978533566891
Sample_1,140.0,2.0,0,0,2,3.67,0.1842568964567504
Sample_1,140.0,2.0,0,0,2,3.9,0.16887509490064992
Sample_1,140.0,2.0,0,0,2,3.9,0.16887509490064992
Sample_1,140.0,2.0,0,0,2,0.725,0.11204125215654931
Sample_1,140.0,2.0,0,0,2,2.25,0.22430846761440137
Sample_1,140.0,2.0,0,0,2,4.65,0.12220392798682006
Sample_1,140.0,2.0,0,0,2,4.47,0.13251999749811885
Sample_1,140.0,2.0,0,0,2,2.45,0.22836849611188656
Sample_1,140.0,2.0,0,0,2,2.2,0.22272834362383492
Sample_1,140.0,2.0,0,0,2,4.4,0.13669473695067771
Sample_1,140.0,2.0,0,0,2,5.775,0.06606662861659772
Sample_1,140.0,2.0,0,0,2,2.73,0.22785479932556096
Sample_1,140.0,2.0,0,0,2,2.65,0.22873271049217958
Sample_1,140.0,2.0,0,0,2,2.77,0.22720312265131823
Sample_1,140.0,2.0,0,0,2,1.6,0.18862173096098872
Sample_1,140.0,2.0,0,0,2,2.4,0.22769807950435825
Sample_1,140.0,2.0,0,0,2,2.8,0.2266233417466551
Sample_1,140.0,2.0,0,0,2,3.02,0.2201253029743222
Sample_1,140.0,2.0,0,0,2,3.3,0.20698668777473586
Sample_1,140.0,2.0,0,0,2,3.45,0.19828956131326408
Sample_1,140.0,2.0,0,0,2,3.15,0.21461413930662543
Sample_1,140.0,2.0,0,0,2,0.975,0.13472127797811573
Sample_1,140.0,2.0,0,0,2,1.35,0.16828696946473296
Sample_1,140.0,2.0,0,0,2,1.875,0.207395081623861
Sample_1,140.0,2.0,0,0,2,5.7,0.0695525495172711
Sample_1,140.0,2.0,0,0,2,0.775,0.11652804693858027
Sample_1,140.0,2.0,0,0,2,1.8,0.2027348687496903
Sample_1,140.0,2.0,0,0,2,1.9,0.20886284839384386
